ids,class
PMC100320,1
PMC100321,2
PMC100322,0
PMC100323,3
PMC100324,1
PMC100325,0
PMC100326,1
PMC100327,1
PMC100357,2
PMC100780,2
PMC100781,0
PMC100782,4
PMC100783,3
PMC100784,1
PMC100785,0
PMC100786,4
PMC100787,1
PMC101226,0
PMC101372,3
PMC101373,4
PMC101374,1
PMC101375,1
PMC101376,1
PMC101377,3
PMC101378,1
PMC101379,4
PMC101380,3
PMC101381,3
PMC101382,2
PMC101383,1
PMC101384,4
PMC101385,4
PMC101386,1
PMC101387,0
PMC101388,0
PMC101389,3
PMC101390,3
PMC101391,3
PMC101392,2
PMC101393,0
PMC101394,3
PMC101395,2
PMC101396,2
PMC101403,2
PMC101404,1
PMC101405,1
PMC101406,1
PMC101407,0
PMC101408,4
PMC101409,1
PMC101410,1
PMC101493,1
PMC102320,1
PMC102321,1
PMC102322,2
PMC102323,2
PMC102324,4
PMC102332,2
PMC102333,4
PMC102334,3
PMC102335,0
PMC102336,0
PMC102755,2
PMC102756,2
PMC102757,3
PMC102758,2
PMC102759,2
PMC102760,1
PMC102761,1
PMC102762,1
PMC102763,3
PMC102764,1
PMC102765,1
PMC102766,1
PMC102767,1
PMC103660,2
PMC103661,1
PMC103662,2
PMC103663,2
PMC103664,2
PMC103665,0
PMC103666,2
PMC103667,4
PMC103668,2
PMC103669,1
PMC103670,1
PMC103671,1
PMC103672,2
PMC107028,2
PMC107726,0
PMC107739,3
PMC107740,1
PMC107746,1
PMC107797,1
PMC107798,2
PMC107836,0
PMC107837,3
PMC107838,1
PMC107839,1
PMC107840,3
PMC107841,4
PMC107842,1
PMC107843,0
PMC107846,4
PMC107847,4
PMC111028,1
PMC111029,4
PMC111030,4
PMC111058,0
PMC111059,3
PMC111060,4
PMC111061,2
PMC111062,1
PMC111063,2
PMC111181,3
PMC111182,2
PMC111183,1
PMC111184,1
PMC111185,1
PMC111186,2
PMC111187,0
PMC111188,0
PMC111189,0
PMC111190,3
PMC111191,4
PMC111192,2
PMC111193,0
PMC111194,3
PMC111195,4
PMC111196,0
PMC111197,0
PMC111198,1
PMC111199,2
PMC111500,1
PMC111501,4
PMC111502,1
PMC111503,2
PMC111504,1
PMC111505,3
PMC113251,2
PMC113252,0
PMC13911,4
PMC13912,2
PMC13913,2
PMC13914,2
PMC13915,2
PMC13916,4
PMC13917,0
PMC13918,4
PMC13919,0
PMC13920,4
PMC13921,4
PMC13922,4
PMC15015,0
PMC15016,1
PMC15023,4
PMC15024,2
PMC15025,4
PMC15026,0
PMC15027,1
PMC15028,1
PMC16139,4
PMC16141,1
PMC16144,1
PMC16145,1
PMC17597,2
PMC17598,1
PMC17599,0
PMC17774,0
PMC17776,2
PMC17779,4
PMC17804,0
PMC17805,0
PMC17806,3
PMC17807,0
PMC17808,3
PMC17809,0
PMC17810,0
PMC17811,3
PMC17812,2
PMC17813,2
PMC17814,3
PMC17815,3
PMC17816,0
PMC17817,3
PMC17818,0
PMC17819,0
PMC17820,0
PMC17821,0
PMC17822,4
PMC25774,1
PMC25775,1
PMC25776,4
PMC28985,1
PMC28986,1
PMC28987,4
PMC28988,1
PMC28989,3
PMC28990,0
PMC28991,3
PMC28992,3
PMC28993,3
PMC28994,3
PMC28995,1
PMC28996,2
PMC28997,3
PMC28998,3
PMC28999,1
PMC29000,2
PMC29001,2
PMC29002,4
PMC29003,1
PMC29004,3
PMC29005,4
PMC29006,1
PMC29007,1
PMC29009,3
PMC29010,1
PMC29011,4
PMC29012,3
PMC29013,2
PMC29014,1
PMC29015,0
PMC29016,2
PMC29017,1
PMC29018,3
PMC29019,3
PMC29021,3
PMC29022,3
PMC29023,3
PMC29024,1
PMC29025,2
PMC29026,2
PMC29028,3
PMC29029,2
PMC29030,1
PMC29031,3
PMC29032,3
PMC29033,3
PMC29034,1
PMC29035,0
PMC29036,0
PMC29037,2
