ID,Topic1,Topic2,Topic3,Topic4,Topic5
PMC7147678,[ 1.  1. -1.  0.  0.],[ 1.  1. -1.  0.  0.],[-1.  1.  0.  0. -1.],[ 0. -1.  1. -1.  0.],[0. 0. 0. 1. 2.]
PMC5778704,[ 1.  1. -1.  0.  0.],[ 0.  0.  1.  0. -2.],[ 0.  0. -1.  0.  0.],[0. 1. 0. 2. 0.],[0. 0. 1. 0. 0.]
PMC8003954,[ 1. -1. -1.  0.  0.],[0. 0. 0. 1. 0.],[0. 1. 0. 0. 0.],[ 1.  1. -1.  0.  0.],[0. 0. 0. 0. 1.]
PMC6083644,[ 1.  1. -1.  0.  0.],[ 0.  0.  0. -1.  0.],[0. 1. 2. 0. 0.],[ 0. -1.  0.  0.  0.],[0. 1. 0. 2. 0.]
PMC8129785,[ 0.  0.  1. -1.  1.],[ 0.  0. -1.  2.  0.],[ 0. -1.  0.  0.  0.],[1. 1. 1. 0. 0.],[ 1.  1. -1.  0.  0.]
PMC6837142,[0. 0. 1. 0. 0.],[-1. -2.  0.  0.  0.],[ 1.  1. -1.  0.  0.],[ 0. -1.  0.  0.  0.],[-1.  0.  0. -1.  1.]
PMC5962135,[ 0.  0. -1. -2.  0.],[ 0.  1.  1.  0. -1.],[ 1.  1. -1.  0.  0.],[ 0.  0. -1.  0.  0.],[-1. -1.  1.  0.  0.]
PMC7080960,[ 1. -1.  1.  0.  0.],[0. 1. 0. 0. 0.],[ 0.  1. -1.  1.  0.],[ 1.  1. -1.  0.  0.],[ 0.  0.  0. -1.  0.]
PMC5113500,[ 0.  1. -1.  0.  1.],[0. 1. 0. 0. 0.],[0. 0. 0. 0. 1.],[ 1.  1. -1.  0.  0.],[ 0.  0.  0. -1.  0.]
PMC4196889,[ 0. -1. -1. -1.  0.],[ 1.  1. -1.  0.  0.],[ 0. -1.  1.  0. -1.],[ 0.  0. -1. -1.  1.],[ 0.  1. -1.  1.  0.]
